#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,name,subscribers,views,total_videos
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,,abp news,45700000,18965920842,418523
54,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,Philippines,,12.5M,,abs-cbn entertainment,50000000,55857835444,232451
29,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,UCu59yAFE8fM0sVNTipR4edw,aaj tak,68000000,34675061554,400461
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52.2M,-,,,15.7M,UCKe6w0exI94U-RzqAyoY1VA,ariana grande,54700000,27294001619,212
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.5%,,,20.6M,UCQZfFRohQ7UX-0CdXl-6pwQ,bangtantv,79100000,23675450062,2624
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.4%,South Korea,,24.6M,UCECJDeK0MNapZbpaOzxrUPA,blackpink,95000000,37127987841,603
47,BRIGHT SIDE @UC4rlAVgAK0SGk-yTfe48Qpw,43.4M,-,,Fitness News,13M,alfredolarin,bright side,44600000,11297511802,8787
49,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43.1M,-,Puerto Rico,,12.9M,UC_A7K2dXFsTMAciGmnNxy-Q,bad bunny,48300000,36824428292,156
42,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45.7M,-,Mexico,,13.7M,UChGJGhZ9SOOHvBB0Y4DOO_w,badabun,47600000,19868964480,23871
40,Billie Eilish @UCiGm_E4ZwYSHV3bcW1pnSeQ,46.6M,0.7%,United States,,14M,UC_aEa8K-EOJ3D6gOs7HcyNg,billie eilish,53300000,17067539696,139
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.2%,,,10.4M,,bruno mars,38700000,21888905651,101
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,UCM9r1xn6s30OnlJWb-jc3Sw,canal kondzilla,67400000,38693537376,2921
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,UC9TO_oo4c_LrOiKNaY6aysA,chuchu tv nursery rhymes & kids songs,93600000,52481591303,816
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,carryminati,cocomelon - nursery rhymes,184000000,190463370700,1312
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,UCNUQK9mQoqi4yNXw2_Rj6SA,colors tv,76700000,75273722607,169446
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,United States,Music,11.1M,,daddy yankee,39300000,25378349562,571
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,India,,9.9M,,desi music factory,33900000,10773606276,299
22,Dude Perfect @UCRijo3ddMTht_IHyNSNXpNQ,58.6M,-,United States,,17.6M,UCwHE1kM1CPJd_pI9FQ0-4dg,dude perfect,60500000,17826940013,453
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52.3M,-,,,15.7M,UC5tuYcCdiKuF5Y2ZonuarwA,ed sheeran,55300000,33092273534,532
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52.9M,-,,,15.9M,UCoUM-UJ7rirJYP8CQ0EIaHA,el reino infantil,66400000,62924532291,1589
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51.7M,1%,,,15.5M,UCcvNYxWXR_5TjVK7cSCdW-g,eminemmusic,62600000,31610301290,196
43,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,Brazil,,13.3M,UCRm96I5kmb_iGFofE5N691w,felipe neto,46700000,18090100598,5221
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,,gr6 explode,41400000,28572264295,3257
92,Geet MP3 @UClZF7OsrECe3t_ADrjZEh_Q,32.7M,-,,Music,9.8M,,geet mp3,35600000,14039905675,752
44,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44.3M,-,Russia,,13.3M,UCw7xjxzbMwgBSmbeYwqYRMg,get movies,52800000,33988299504,3417
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,UCWi_65E_L8tQZ34C6wVAlpQ,goldmines,100000000,30012216192,8980
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,,goldmines gaane sune ansune,43900000,20066925119,3956
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,UC3ZkCd7XtUREnjjt3cyY_gg,hybe labels,75900000,36437404033,2149
39,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,UCLtNvbkqea8wN_kGtfgx_Mw,infobells - hindi,65400000,38453929889,714
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,,ishtar music,46900000,20618479397,4735
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,,j balvin,34500000,24735120456,253
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.2%,,,10.4M,,jkk entertainment,38100000,17137994496,243
41,JuegaGerman @UCYiGq8XF7YQD00x7wAd62Zg,46.4M,0.4%,Chile,,13.9M,UClZF7OsrECe3t_ADrjZEh_Q,juegagerman,51300000,15946294663,2236
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,UCp0hYYBW6IMayGgR-WeoCvQ,justin bieber,74000000,33298733109,249
48,Katy Perry @UCYvmuw-JtVrTZQ-7Y4kd63Q,43.1M,-,United States,,12.9M,UCqJ5zFEED1hWs0KNQCQuYdQ,katy perry,45500000,27341500251,168
